noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.24,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.55452242 0.43296894 0.43750962 0.44190656 0.44681366 0.44190047
 0.43749808 0.43295176]","[0.00416141 0.0046899  0.00462495 0.00457918 0.00454864 0.00461234
 0.0046926  0.00479727]"
correlated,0.28,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.54306386 0.42011376 0.42463569 0.42901447 0.4339013  0.42899028
 0.42458984 0.42004553]","[0.00379693 0.00445611 0.00442684 0.00442015 0.00443796 0.0044398
 0.0044633  0.00450891]"
correlated,0.32,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.53254515 0.40849178 0.413023   0.41741078 0.42230765 0.41744294
 0.41308398 0.40858251]","[0.00358802 0.00413737 0.00411868 0.00412338 0.004155   0.00412334
 0.00412161 0.00414629]"
correlated,0.36,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.52273208 0.39784034 0.40237053 0.40675731 0.41165307 0.40674411
 0.4023455  0.39780309]","[0.0033448  0.00408588 0.00405304 0.00403784 0.00404037 0.00400669
 0.00399171 0.00399151]"
correlated,0.5,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.49081938 0.36379922 0.36818384 0.37242966 0.3771681  0.37241701
 0.36815985 0.36376352]","[0.00255776 0.00307236 0.0030372  0.00302716 0.00304411 0.00301385
 0.00300674 0.00301938]"
correlated,0.75,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.44357611 0.31501569 0.31899395 0.32284627 0.32714556 0.32282978
 0.31896269 0.31496917]","[0.00215343 0.00261497 0.00259321 0.00259454 0.002622   0.00255137
 0.00250845 0.00248543]"
correlated,1.0,anisotropic,0.75,0.0,0.75,0.5,0.05,"[0.40816647 0.28036984 0.28396481 0.28744599 0.29133106 0.28744319
 0.28395952 0.28036196]","[0.00167271 0.00208377 0.00205573 0.0020464  0.00205696 0.00203047
 0.00202891 0.00204935]"
correlated,0.05,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.5034293  0.37468465 0.35506103 0.33605863 0.31485147 0.25701035
 0.20518257 0.15166044]","[0.00536862 0.00649683 0.00675184 0.00701409 0.00732256 0.00809017
 0.00880365 0.00955996]"
correlated,0.1,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.49248379 0.36647405 0.347699   0.3295183  0.30922819 0.25467436
 0.20579211 0.15531179]","[0.00456319 0.0055036  0.00570868 0.0059235  0.00618004 0.00676244
 0.00731315 0.00790421]"
correlated,0.16,anisotropic,1.5,0.0,0.0,0.5,0.1,"[0.48336437 0.35932504 0.34127371 0.32379384 0.30428585 0.25232565
 0.20576738 0.15768704]","[0.00413594 0.00488877 0.00506582 0.00525113 0.00547234 0.0060061
 0.00651334 0.00705941]"
