noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
white,0.28,isotropic,0.9,0,0,0,0,[0.340745283179602],[0.0778663988096307]
white,0.32,isotropic,0.9,0,0,0,0,[0.541345046979204],[0.0720713660900534]
white,0.36,isotropic,0.9,0,0,0,0,[0.6569435264374732],[0.0152838549181905]
white,0.5,isotropic,0.9,0,0,0,0,[0.5746396315642583],[0.0175595370195952]
white,0.75,isotropic,0.9,0,0,0,0,[0.4886643919969048],[0.0104447616859499]
white,1.0,isotropic,0.9,0,0,0,0,[0.4538885754939941],[0.0064753407453889]
white,0.05,isotropic,1.05,0,0,0,0,[0.278043151250682],[0.003435136433301]
white,0.1,isotropic,1.05,0,0,0,0,[0.2767324017596064],[0.0032395364263532]
white,0.16,isotropic,1.05,0,0,0,0,[0.2788039772873317],[0.0028167068624643]
white,0.2,isotropic,1.05,0,0,0,0,[0.2836117230298884],[0.0029388844737038]
white,0.24,isotropic,1.05,0,0,0,0,[0.2906581369964192],[0.0030761279125477]
white,0.28,isotropic,1.05,0,0,0,0,[0.3187277234098059],[0.0576007012059572]
white,0.32,isotropic,1.05,0,0,0,0,[0.434724493016599],[0.1073139750090788]
white,0.36,isotropic,1.05,0,0,0,0,[0.6269569210759003],[0.0353886731324303]
white,0.5,isotropic,1.05,0,0,0,0,[0.6451382390818946],[0.0240066621138531]
white,0.75,isotropic,1.05,0,0,0,0,[0.5103547842399557],[0.0096989864818228]
white,1.0,isotropic,1.05,0,0,0,0,[0.4777631683501081],[0.0078783933789093]
white,0.05,isotropic,1.2,0,0,0,0,[0.2868730277647075],[0.0034992518629598]
white,0.1,isotropic,1.2,0,0,0,0,[0.2850388411337297],[0.0034821891309786]
white,0.16,isotropic,1.2,0,0,0,0,[0.2879784223303462],[0.0034701353317985]
white,0.2,isotropic,1.2,0,0,0,0,[0.292443098516026],[0.0034455644199154]
white,0.24,isotropic,1.2,0,0,0,0,[0.2984621369426569],[0.0034936619836104]
white,0.28,isotropic,1.2,0,0,0,0,[0.3096188123047242],[0.0132354575069421]
white,0.32,isotropic,1.2,0,0,0,0,[0.3589387823842132],[0.0782889984141119]
white,0.36,isotropic,1.2,0,0,0,0,[0.5773969481492742],[0.0732680428306102]
white,0.5,isotropic,1.2,0,0,0,0,[0.7105879917524116],[0.0187285722517588]
white,0.75,isotropic,1.2,0,0,0,0,[0.5268032816218657],[0.0119477213262066]
white,1.0,isotropic,1.2,0,0,0,0,[0.4956476461160324],[0.007478530872505]
